                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0427,                 2.4823,                0.88994,                 0.5015,                0.48939,                0.49942,                0.36632,                0.96407,                 1.8105,                 0.8788,               0.065665,              0.0029938,              0.0029938
                      2,                0.87913,                 1.2826,                 0.8463,                0.65502,                0.66028,                0.70884,                0.54193,                0.84331,                 1.1526,                0.83088,               0.031053,              0.0058822,              0.0058822
                      3,                0.80686,                 1.0894,                0.82697,                0.72506,                0.72484,                0.78871,                0.63461,                0.74744,                0.97724,                0.80423,              0.0077019,              0.0077019,              0.0077019
                      4,                0.75839,                0.96229,                0.81286,                0.78262,                0.76481,                  0.835,                0.68456,                0.68203,                0.82099,                 0.7922,              0.0077019,              0.0077019,              0.0077019
                      5,                0.72436,                 0.8881,                 0.8059,                0.82252,                0.79147,                0.85613,                0.70488,                0.67025,                0.78398,                0.78498,              0.0075428,              0.0075428,              0.0075428
                      6,                0.70287,                0.83139,                0.80095,                0.83807,                0.80731,                0.87711,                0.72669,                0.64588,                0.73341,                0.77497,              0.0073838,              0.0073838,              0.0073838
                      7,                0.68372,                0.80027,                0.79711,                0.85267,                0.83472,                 0.8988,                0.75343,                0.62479,                0.67877,                0.76897,              0.0072247,              0.0072247,              0.0072247
                      8,                0.66252,                 0.7622,                0.78926,                0.87036,                0.83123,                0.90672,                0.76435,                0.60024,                0.66199,                0.76463,              0.0070657,              0.0070657,              0.0070657
                      9,                0.64083,                0.72737,                0.78478,                0.85668,                0.84835,                0.90325,                0.76617,                0.58444,                0.64141,                0.76217,              0.0069066,              0.0069066,              0.0069066
                     10,                0.63231,                0.70853,                0.78326,                0.87044,                0.85292,                 0.9231,                0.79113,                0.56297,                0.60464,                0.75525,              0.0067475,              0.0067475,              0.0067475
                     11,                0.61475,                0.69282,                0.77999,                 0.8737,                0.85469,                0.92025,                0.79389,                0.54587,                0.58212,                0.75337,              0.0065885,              0.0065885,              0.0065885
                     12,                0.61336,                0.67416,                0.77916,                 0.8834,                0.86042,                0.92421,                0.78813,                0.56925,                0.57897,                 0.7554,              0.0064294,              0.0064294,              0.0064294
                     13,                0.59984,                0.65719,                0.77415,                0.89326,                0.86182,                0.92889,                0.80277,                0.54322,                0.55742,                 0.7518,              0.0062704,              0.0062704,              0.0062704
                     14,                0.59276,                 0.6325,                 0.7741,                0.88911,                0.87651,                 0.9306,                0.79494,                0.56115,                0.55158,                0.75178,              0.0061113,              0.0061113,              0.0061113
                     15,                0.58487,                0.61919,                0.77077,                 0.9098,                0.87975,                0.93933,                0.81948,                0.51629,                0.50317,                0.74321,              0.0059523,              0.0059523,              0.0059523
                     16,                0.57883,                0.61767,                0.76857,                0.89917,                  0.888,                0.94084,                0.81271,                0.53473,                0.52617,                0.74566,              0.0057932,              0.0057932,              0.0057932
                     17,                0.57504,                0.60282,                 0.7676,                0.90437,                0.89354,                 0.9417,                0.82655,                0.49749,                0.48563,                0.74184,              0.0056341,              0.0056341,              0.0056341
                     18,                0.56521,                0.58288,                0.76602,                 0.9076,                0.89621,                0.94547,                0.83131,                0.49754,                0.48148,                0.73974,              0.0054751,              0.0054751,              0.0054751
                     19,                 0.5543,                0.57057,                0.76458,                0.91704,                0.88597,                0.94554,                 0.8239,                0.50682,                0.47957,                0.74225,               0.005316,               0.005316,               0.005316
                     20,                0.55619,                0.56154,                 0.7634,                0.92732,                0.90754,                0.95522,                0.84104,                0.49499,                0.44963,                0.73741,               0.005157,               0.005157,               0.005157
                     21,                0.54415,                0.55063,                0.76117,                0.91768,                0.89861,                0.94934,                0.83239,                0.49612,                0.46599,                0.73753,              0.0049979,              0.0049979,              0.0049979
                     22,                0.54639,                0.55691,                0.76227,                0.92011,                0.90106,                0.95378,                0.84326,                 0.4767,                0.44924,                0.73684,              0.0048389,              0.0048389,              0.0048389
                     23,                0.54267,                0.54969,                0.76155,                0.92236,                0.89565,                0.94996,                0.83717,                0.49029,                0.46423,                0.73677,              0.0046798,              0.0046798,              0.0046798
                     24,                0.53962,                0.53799,                0.76016,                0.92404,                0.90781,                0.95701,                0.84779,                0.47148,                0.43564,                0.73526,              0.0045207,              0.0045207,              0.0045207
