                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3728,                 4.5119,                 1.0755,                0.41712,                0.12898,                0.10181,                0.07448,                 1.0548,                 3.0391,                0.92478,              6.039e-05,              6.039e-05,              6.039e-05
                      2,                 1.0251,                 2.6251,                0.92736,                 0.4201,                0.34916,                0.32395,                0.24967,                0.86222,                 1.8417,                0.87774,             0.00010907,             0.00010907,             0.00010907
                      3,                0.87723,                 1.8207,                0.89333,                0.53177,                0.48875,                0.48352,                0.38879,                 0.7668,                 1.4062,                  0.859,             0.00014574,             0.00014574,             0.00014574
                      4,                0.80571,                 1.5006,                0.87817,                0.56513,                0.56143,                0.57762,                0.47506,                 0.7116,                 1.2033,                0.84858,             0.00012795,             0.00012795,             0.00012795
                      5,                 0.7654,                 1.3214,                0.86872,                0.63007,                 0.6097,                0.64847,                0.53952,                0.67175,                 1.0695,                0.83979,             0.00012795,             0.00012795,             0.00012795
                      6,                0.72461,                 1.1865,                  0.858,                0.67161,                0.63823,                0.68643,                 0.5784,                0.63904,                0.97029,                0.83431,             0.00010993,             0.00010993,             0.00010993
                      7,                0.70503,                 1.1111,                0.85633,                0.68435,                0.67595,                0.71875,                0.60675,                0.62145,                0.92218,                0.82876,              9.191e-05,              9.191e-05,              9.191e-05
                      8,                0.68468,                 1.0546,                0.85035,                0.70112,                0.68444,                0.73438,                0.62257,                0.61243,                 0.8806,                0.82755,             7.3892e-05,             7.3892e-05,             7.3892e-05
                      9,                0.67315,                  1.014,                0.84777,                  0.718,                0.71221,                0.75348,                0.64132,                 0.5987,                0.84735,                 0.8246,             5.5874e-05,             5.5874e-05,             5.5874e-05
                     10,                0.65628,                0.97931,                0.84636,                0.73545,                0.70914,                0.76324,                0.65076,                0.58953,                0.82336,                 0.8231,             3.7856e-05,             3.7856e-05,             3.7856e-05
