                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3746,                 4.7328,                 1.1537,                0.42142,                0.13506,                0.10635,                0.07737,                 1.0551,                 3.1837,                0.99141,              6.039e-05,              6.039e-05,              6.039e-05
                      2,                 1.0337,                 2.7564,                0.99561,                0.43402,                0.35535,                0.33516,                0.26112,                0.85543,                 1.8876,                0.94017,             0.00010906,             0.00010906,             0.00010906
                      3,                0.88945,                 1.9199,                0.96102,                0.55683,                0.49091,                 0.4981,                0.40031,                0.76013,                 1.4558,                0.91906,             0.00014572,             0.00014572,             0.00014572
                      4,                0.81669,                 1.5892,                0.94483,                0.56485,                0.57356,                0.58392,                0.47746,                0.71043,                 1.2463,                0.90955,             0.00012791,             0.00012791,             0.00012791
                      5,                0.77658,                 1.4084,                0.93365,                0.62129,                0.61955,                 0.6553,                0.54435,                0.67331,                 1.1042,                0.89968,             0.00012791,             0.00012791,             0.00012791
                      6,                0.73574,                 1.2683,                0.92443,                0.67164,                0.64101,                0.69368,                0.58165,                0.64113,                 1.0196,                0.89382,             0.00010988,             0.00010988,             0.00010988
                      7,                0.71518,                 1.1826,                0.92023,                0.71271,                0.66946,                0.72718,                  0.613,                0.62492,                0.95934,                0.88939,             9.1849e-05,             9.1849e-05,             9.1849e-05
                      8,                0.69327,                 1.1213,                0.91331,                0.71535,                0.69294,                0.74529,                0.63126,                0.60976,                0.90956,                0.88588,             7.3819e-05,             7.3819e-05,             7.3819e-05
                      9,                0.68502,                 1.0827,                0.91222,                0.73062,                0.71085,                0.76351,                0.64817,                0.59741,                0.87829,                0.88345,             5.5789e-05,             5.5789e-05,             5.5789e-05
                     10,                0.66573,                 1.0445,                0.90907,                0.75266,                0.71507,                0.77186,                0.65865,                0.58959,                0.85419,                0.88228,             3.7758e-05,             3.7758e-05,             3.7758e-05
